 date,temp_avg,temp_max,temp_min,precip24hr,rh_avg
8/19/06,76.95,86,69.1,,71.54
8/20/06,82.23,90,75.2,0.03,60.17
8/21/06,77.41,84.9,69.1,,47.71
8/22/06,78.05,87.1,66.9,,49.33
8/23/06,78.93,89.1,70,,48.17
8/24/06,76.3,84.9,64.9,0,53
8/25/06,77.09,87.1,69.1,,68.64
8/26/06,72,75.2,69.1,0.06,80.02
8/27/06,75.12,81,69.8,0.89,82.82
8/28/06,77.25,82,71.6,1.03,78.69
8/29/06,74.25,81,70,1.88,85.9
8/30/06,68.03,71.1,64.4,0.01,84.25
8/31/06,68.3,72,64,,57.92
9/1/06,63.9,66.9,60.1,0.44,74.58
9/2/06,66.19,71.1,60.8,1.56,89.92
9/3/06,68,73.9,61,0,71.65
9/4/06,70.44,78.1,64,,58.88
9/5/06,64.4,69.1,62.1,2.45,88.41
9/6/06,68.62,77,62.1,,71.9
9/7/06,70.37,79,62.1,,66.67
9/8/06,72.08,81,63,,67.9
9/9/06,73.15,82.9,64.9,,70.42
9/10/06,70.62,80.1,64.9,0.06,68.27
9/11/06,64.37,71.1,59,,57.94
9/12/06,61.63,69.1,55,,52.54
9/13/06,62.84,69.1,55.9,,71
9/14/06,66.43,70,64.4,0.65,88.99
9/15/06,69.2,75.2,66.2,0.23,84.35
9/16/06,69.7,75.9,64.9,0,77.69
9/17/06,71.4,81,64,,70.5
9/18/06,72.09,82,62.1,,73.46
9/19/06,71.38,75.9,64.9,0,77.04
9/20/06,64.34,70,57.9,,53.71
9/21/06,59.24,66.9,50,,54.79
9/22/06,61.26,70,51.1,,65.79
9/23/06,71.4,79,63,0.03,73.94
9/24/06,72.91,80.1,64.9,0.06,79.42
9/25/06,66.26,73,57.9,,56.38
9/26/06,64.31,73.9,53.1,,54.75
9/27/06,64.72,75,55.9,,66.63
9/28/06,66.15,75.9,57.9,0.39,72.4
9/29/06,59.77,64.9,51.1,0.1,63.2
9/30/06,57.57,64.9,48,0,67.41
10/1/06,63.33,70,59,0.23,67.41
10/2/06,62.62,71.1,55,,55.71
10/3/06,69.18,81,57.9,,63.17
10/4/06,72.11,82,63,,67.42
10/5/06,61.79,73,55,0.08,62.74
10/6/06,52.59,55,51.1,0.87,79.9
10/7/06,54.91,59,48.9,0.05,71.04
10/8/06,60.68,71.1,53.1,,65.35
10/9/06,64.18,77,53.1,,69.54
10/10/06,66.93,78.1,57.9,,65.61
10/11/06,62.93,68,60.1,2.04,84.17
10/12/06,63.23,70,48.9,0,62.88
10/13/06,47.72,55,39.9,,41.63
10/14/06,50.13,60.1,41,,48.42
10/15/06,49.72,59,39.9,,52.29
10/16/06,52.4,63,41,,57.21
10/17/06,57.33,63,53.1,1.12,82.49
10/18/06,66.02,73,60.1,0,78.42
10/19/06,63.5,66.2,60.1,0.02,79.19
10/20/06,59.83,69.1,46,0.62,74.43
10/21/06,50.87,57.9,43,,58.08
10/22/06,52.83,60.1,43,0,71.5
10/23/06,49.27,54,45,,54.38
10/24/06,45.14,50,39.9,,52.54
10/25/06,46.63,54,39.9,,52.25
10/26/06,45.46,50,42.1,,51.17
10/27/06,43.4,48.9,37,0.38,69.31
10/28/06,57.38,66.9,46,0.97,68.01
10/29/06,49.23,55,43,,37.83
10/30/06,50.67,64,39,,47.96
10/31/06,57.56,72,43,,64.04
11/1/06,61.38,71.1,55,0.01,67.35
11/2/06,49.99,57,43,0.16,57.09
11/3/06,40.51,46,35.1,,41.88
11/4/06,40.01,46.9,30.9,,45.04
11/5/06,42.24,50,35.1,,52.67
11/6/06,45.16,55.9,34,,63.67
11/7/06,52.39,60.1,39.2,0.14,77.44
11/8/06,58.04,60.8,55.4,2,93.07
11/9/06,61.06,70,53.1,,65.92
11/10/06,57.65,68,50,,60.08
11/11/06,60.56,73,48.2,,75.85
11/12/06,56.67,61,51.1,0.55,89.66
11/13/06,58.03,60.8,53.6,0.62,89.55
11/14/06,57.2,59,55,0,88.64
11/15/06,60.23,68,55,0,79.5
11/16/06,65.45,72,55.4,0.77,81.67
11/17/06,55.45,61,45,,56.38
11/18/06,45.58,50,41,,55.75
11/19/06,44.72,48.9,41,,58.42
11/20/06,42.04,44.1,39.9,,51.58
11/21/06,40.13,46,34,,54.58
11/22/06,40.76,42.1,39,0.3,65.33
11/23/06,43.12,46.4,39.9,0.25,83.78
11/24/06,51.25,62.1,43,,36.67
11/25/06,46.05,57,37.9,,60.96
11/26/06,46.26,57.9,35.6,,80.3
11/27/06,47.57,57.9,37.4,,82.95
11/28/06,50.75,62.1,41,,80.75
11/29/06,54.84,62.6,48,,84.51
11/30/06,61.26,70,53.6,,78.48
12/1/06,64.63,72,46.9,0.02,73.51
12/2/06,42.57,46.9,37.9,,46.08
12/3/06,38.27,45,30.9,,55.38
12/4/06,35.74,39,28.9,,45.08
12/5/06,33.46,37.9,30,,43.17
12/6/06,39.35,50,26.1,,58.38
12/7/06,43.78,54,27,0,51.58
12/8/06,27.6,33.1,23,,36.79
12/9/06,31.67,39.9,23,,42.71
12/10/06,41.8,55,30.9,,46.71
12/11/06,47.21,59,34,,48.5
12/12/06,45.21,50,37.9,,69.56
12/13/06,48.85,51.8,44.1,0.19,90.71
12/14/06,45.41,50,42.8,,94.75
12/15/06,45.91,51.1,42.8,0,87.43
12/16/06,45.48,52,36,,53.13
12/17/06,44.59,55.9,35.1,,68.71
12/18/06,53.78,69.1,46,,61.71
12/19/06,41.93,48,35.1,,50.57
12/20/06,36.88,45,28,,60.13
12/21/06,42.1,50,33.1,0,68
12/22/06,46.48,53.1,43,0.59,75.67
12/23/06,54.35,60.1,42.1,0.45,72.3
12/24/06,44.85,53.1,37.9,,58.04
12/25/06,41.23,48.9,34,0.53,80.93
12/26/06,49.42,53.6,44.1,0.02,80.28
12/27/06,41.91,44.1,35.1,,47.04
12/28/06,41.18,50,32,,55.83
12/29/06,43.02,52,33.8,,65.4
12/30/06,45.01,52,39.9,,67.63
12/31/06,39.73,44.6,33.1,,58.74
1/1/07,52.91,57.2,44.1,1.12,87.93
1/2/07,44,48.9,36,,48.08
1/3/07,41.65,53.1,30.9,,63.83
1/4/07,45.85,57.9,37,,74.21
1/5/07,56.86,62.1,46,0.14,89.6
1/6/07,64.35,72,55.9,0.02,65.67
1/7/07,48.22,55.9,44.1,0.49,57.71
1/8/07,47.79,55.9,37,0.9,65.89
1/9/07,38.96,45,34,,48
1/10/07,33.37,36,30,,41.08
1/11/07,31.49,37.9,24.1,,52.29
1/12/07,45.46,48.9,39.9,0,59.86
1/13/07,52.49,60.1,46.9,0.05,78.69
1/14/07,50.31,54,48,0.04,92.49
1/15/07,51.96,63,44.1,0,86.8
1/16/07,43.8,60.1,28,0,48.65
1/17/07,26.13,30.9,19.9,,40.58
1/18/07,30.25,34,25,0.02,70.08
1/19/07,36.5,43,32,0.02,58.93
1/20/07,30.87,35.1,24.1,0,36.38
1/21/07,24.18,28,21,0.01,51.51
1/22/07,29.65,33.8,24.8,0.07,83.72
1/23/07,33.7,37,28,0.01,62.08
1/24/07,34.23,39,28,0,58.33
1/25/07,30.71,35.1,19,0,58.17
1/26/07,18.75,25,10,,42.33
1/27/07,33.38,45,21.2,0,51
1/28/07,37.78,41,32,0,65.09
1/29/07,26.75,30.2,23,0,50.35
1/30/07,30.36,39,19.9,0,51.06
1/31/07,27.6,32,23,0,44.88
2/1/07,30.84,34,26.1,0,67.76
2/2/07,34.62,39.9,30,0.13,80.45
2/3/07,27.44,33.1,23,,41.88
2/4/07,24.24,28.9,19,,30.88
2/5/07,13.91,18,10,0,30.58
2/6/07,15.37,19.9,10,,32.83
2/7/07,18.35,24.1,12.2,0.02,50.31
2/8/07,19.87,27,12,,39.42
2/9/07,23.97,30,16,,38.33
2/10/07,25.73,32,21.2,,39.33
2/11/07,25.23,33.1,15.1,,41.71
2/12/07,35.49,43,27,,42.21
2/13/07,27.01,37,21.2,0.08,70.49
2/14/07,25.64,35.6,19,0.52,76.25
2/15/07,18.46,21.9,15.1,0.09,46.67
2/16/07,19.84,26.1,12.9,,48.88
2/17/07,27.36,35.1,16,0,51.46
2/18/07,28.56,32,19.9,0,50.79
2/19/07,22.51,30,14,,43.17
2/20/07,40.36,46,30.9,0.1,55.04
2/21/07,40.63,50,30,0.01,65.27
2/22/07,37.78,46.9,28,0.08,70.51
2/23/07,32.72,37.9,26.1,,39.54
2/24/07,29.95,39.9,19.9,,40.83
2/25/07,30.88,33.1,28.4,0.33,65.33
2/26/07,34.28,36,32,0.11,84.52
2/27/07,40.04,46.9,32,0,66
2/28/07,38.3,43,30.9,,61.13
3/1/07,40.26,50,32,0.21,64.01
3/2/07,52.36,62.1,39.9,1.22,60.11
3/3/07,43.91,57.2,32,0,51.42
3/4/07,35.72,39,30.9,0,44.21
3/5/07,34.8,43,24.1,0,38.67
3/6/07,21.18,25,17.1,,21.29
3/7/07,20.11,24.8,15.8,0.09,64.19
3/8/07,26.11,35.1,17.1,,49.46
3/9/07,29.08,39,19.9,,42
3/10/07,45.17,62.1,28.9,0.03,69.15
3/11/07,46.64,53.6,39,0.04,52.25
3/12/07,44.2,55.9,28,,46.54
3/13/07,50.13,66.9,37,,57.21
3/14/07,61.16,78.1,46,,56.88
3/15/07,53.6,68,39.2,0.28,68.65
3/16/07,32.82,39.9,26.6,1.75,86.41
3/17/07,30.29,35.4,26.6,0,61.9
3/18/07,33.5,39.9,26.1,,39.88
3/19/07,37.71,46,27,0,50.17
3/20/07,48.09,53.2,37,0,38
3/21/07,38.42,46.9,28.9,,42.04
3/22/07,54.33,70,41,0.04,68.19
3/23/07,57,64,52,0.12,82.42
3/24/07,50.81,54,48,0.03,62
3/25/07,48.97,57,39.9,0,62.15
3/26/07,47.41,57.2,39,,73.5
3/27/07,65.32,81,48,,58.21
3/28/07,59.48,66,50,,41.54
3/29/07,49.2,57.9,39,,18.46
3/30/07,51.67,64.9,39,,24.25
3/31/07,49.78,59,44.1,,38.96
4/1/07,47.6,53.1,44.1,0.01,65.9
4/2/07,56.78,78.1,44.1,0.1,67.19
4/3/07,51.21,66.9,44.6,,73.1
4/4/07,44.3,46.4,42.1,1.26,83.54
4/5/07,40.16,43,35.1,0,41
4/6/07,38.03,44.1,32,,40.88
4/7/07,36.36,39.9,33.1,0,39.81
4/8/07,36.68,43,30.9,,39.54
4/9/07,38.85,45,30,,45.13
4/10/07,42.41,48.9,35.1,,38.92
4/11/07,44.52,55,34,0,51.25
4/12/07,46.51,51.1,42.1,1.11,76.51
4/13/07,47.53,53.1,43,,45.21
4/14/07,46.6,55,35.1,0,47.04
4/15/07,44.78,48.2,42.1,4.21,89.16
4/16/07,40.43,44.6,34,0.88,76.22
4/17/07,45.38,51.1,41,0,62.19
4/18/07,47.09,51.1,42.1,0,62.69
4/19/07,49.44,55,46,0.01,71.64
4/20/07,55.55,69.1,41,,48.13
4/21/07,59.11,75.9,42.1,,42.31
4/22/07,63.78,79,46,,39.46
4/23/07,67.9,82.9,51.1,,41.42
4/24/07,70.7,78.1,62.1,0,40.92
4/25/07,59.21,72,50,0,46
4/26/07,52.77,57.9,46.9,0,67.59
4/27/07,54.2,61,46.4,1.49,88.18
4/28/07,59.82,68,53.6,0,70.56
4/29/07,61.55,72,51.1,0,53.75
4/30/07,67.35,82.9,50,,42.5
5/1/07,60.82,70,55.9,0,35.15
5/2/07,63.38,73,54,0,46.46
5/3/07,60.06,69.1,52,,33.25
5/4/07,59.96,71.1,50,,33.42
5/5/07,61.19,73.9,48,,47.67
5/6/07,54.65,61,45,,39.25
5/7/07,53.82,66,43,,49.71
5/8/07,59.91,73.9,45,,58.38
5/9/07,67.47,79,57,,79.56
5/10/07,70.22,81,64,,78.76
5/11/07,72.03,84,62.6,0,67.28
5/12/07,68.52,79,57.2,0.24,64.77
5/13/07,61.69,70,51.8,0.15,44.31
5/14/07,59.79,69.1,48.9,,36.21
5/15/07,69.67,82.9,53.2,,53.17
5/16/07,71.64,84.9,62.1,1.05,66.44
5/17/07,62.65,69.1,54,0.04,66.75
5/18/07,55.81,61,51.8,,68.25
5/19/07,57.73,68,48,0,52.56
5/20/07,64.94,75.9,55,0,61.4
5/21/07,62.38,71.1,54,,51.5
5/22/07,64.06,75.9,53.1,,49.33
5/23/07,64.62,75,54,,62.5
5/24/07,68.66,80.1,57,,55.13
5/25/07,73.88,86,61,,54.42
5/26/07,76.62,88,66,0.69,62.58
5/27/07,76.09,87.1,66.9,0.51,70.12
5/28/07,73.84,81,66.9,0,71.83
5/29/07,71.76,80.1,63,,46.13
5/30/07,72.77,84.9,60.1,,56.83
5/31/07,78.24,90,68,,57.38
6/1/07,78.02,88,70,0,61.91
6/2/07,78.06,88,71.1,,65.42
6/3/07,69.13,73.9,64,1.4,84.28
6/4/07,70.24,79,64.4,0.18,82.66
6/5/07,74.3,81,68,,61.17
6/6/07,66.9,73,60.1,0,49.13
6/7/07,69.55,81,57,,57.13
6/8/07,78.19,91.9,64,0,70.71
6/9/07,77.94,84.9,68,0,62.48
6/10/07,69.63,78.1,66,0,65.1
6/11/07,72.21,82.4,66,0,64.03
6/12/07,72.73,84.9,66.2,0.77,73.18
6/13/07,67.4,73.4,60.1,0,78.69
6/14/07,60.28,63,57,0,65.34
6/15/07,65.85,73,59,,64.04
6/16/07,72.05,81,62.1,,61.67
6/17/07,78.67,88,66.9,,54.75
6/18/07,78.7,88,70,,58.5
6/19/07,77.14,90,66,0.35,68.19
6/20/07,74.5,81,69.1,0.06,66.33
6/21/07,79.61,84,73.9,,40.31
6/22/07,72.1,78.1,66,,42.13
6/23/07,68.72,75.9,57.9,,37.58
6/24/07,72.14,82,61,,41.13
6/25/07,73.69,82.9,66.2,0.05,79.34
6/26/07,81.18,91.9,71.1,,72
6/27/07,83.61,93.9,73,0.67,68.34
6/28/07,78.52,89.1,72,0.28,77.49
6/29/07,72.87,75,68,0.02,78.67
6/30/07,73.7,81,68,,58.04
7/1/07,70.09,75,64,,46.46
7/2/07,67.96,75,59,,42.75
7/3/07,71.12,80.1,61,,44.92
7/4/07,70.32,78.1,62.6,1.09,76.11
7/5/07,73.89,80.1,70,0.18,79.85
7/6/07,77.62,86,69.8,0,65.13
7/7/07,78.58,87.1,68,,50.5
7/8/07,81.42,91.9,69.1,,56.13
7/9/07,84.68,95,73.9,,56.04
7/10/07,83.16,93,75.9,,69.13
7/11/07,79.56,87.8,75,0.68,80.52
7/12/07,75.69,81,69.1,,49.43
7/13/07,76.44,82.9,69.1,,50.54
7/14/07,76.92,84.9,69.1,,51.96
7/15/07,81.7,91.9,72,0.02,58.67
7/16/07,77.37,87.1,72,0,71.67
7/17/07,80.3,90,71.1,,57.46
7/18/07,78.1,87.1,73.9,0.02,79
7/19/07,79.35,87.8,73.4,0,74.24
7/20/07,76.71,81,71.1,,51.44
7/21/07,74.66,84.9,64,,40.71
7/22/07,75.92,84.9,69.1,,42.42
7/23/07,68.67,71.6,64.4,0,64.91
7/24/07,73.82,86,61,,57.63
7/25/07,76.4,87.1,64.9,,67.79
7/26/07,77.95,87.1,71.1,,71.58
7/27/07,79.55,90,73,1,70.9
7/28/07,79.7,89.1,71.6,0,69.9
7/29/07,76.07,80.1,72,1.16,80.65
7/30/07,76.74,84.9,71.6,0.09,79.74
7/31/07,80.53,89.1,72,,56.56
8/1/07,82.44,91.9,73,,51.5
8/2/07,83.41,93,75,,57.63
8/3/07,83.11,93,73.9,,63.33
8/4/07,83.3,93.9,75,,63.54
8/5/07,78.97,89.1,71.6,0.31,56.4
8/6/07,78.74,86,71.6,0.01,80.77
8/7/07,84.48,91.9,77,,68.52
8/8/07,88.38,96.1,80.6,0.07,64.49
8/9/07,81.04,90,73,0.17,65.51
8/10/07,73.3,87.1,61,0.04,81.78
8/11/07,71.51,82.9,60.8,,58.5
8/12/07,78.69,88,69.1,,56.33
8/13/07,80.55,88,73.9,0.01,53.33
8/14/07,75.87,84,66,,40.42
8/15/07,78.17,88,66.9,,56.17
8/16/07,77,80.1,75,,78.4
8/17/07,81.77,87.8,77,0.13,62.42
8/18/07,70.65,78.1,64,,38.52
8/19/07,66.43,73,62.1,0.53,72.57
8/20/07,63.37,66.9,61,0.64,92.5
8/21/07,61.24,64.4,60.1,0.43,90.7
8/22/07,62.48,68,57,0.16,88.61
8/23/07,69.56,78.8,62.6,0,83.17
8/24/07,74.95,84,66.2,,83.27
8/25/07,81.4,93,73,,79.14
8/26/07,78.74,84,73.9,0,67.46
8/27/07,75.7,84,68,,63.75
8/28/07,75.71,84.9,66.9,,63.75
8/29/07,75.6,84.9,64.9,,60.29
8/30/07,76.42,86,68,,62.05
8/31/07,75.43,82,70,,67.73
9/1/07,72.38,81,62.1,,47.54
9/2/07,70.5,80.1,60.1,,52.92
9/3/07,73.82,84.9,64,,63.33
9/4/07,76.88,84.9,69.1,,55.46
9/5/07,75.08,84.9,66.9,,57.42
9/6/07,75.45,86,66,,65.13
9/7/07,78.31,89.1,70,,71.04
9/8/07,79.63,90,70,,63.62
9/9/07,77.1,86,69.1,,73.65
9/10/07,80.97,89.1,75,0,71.26
9/11/07,74.51,78.8,73,0.19,86.17
9/12/07,69.45,75,64,,49.04
9/13/07,69.03,79,60.1,,57.54
9/14/07,70.89,78.1,64.9,0,68.17
9/15/07,64.92,70,57.9,0.12,60.65
9/16/07,58.7,66,50,,54.83
9/17/07,60.95,71.1,50,,57.58
9/18/07,62.27,73,53.1,,61.96
9/19/07,66.11,78.1,55,,63.42
9/20/07,68.4,77,59,,67.42
9/21/07,71.28,82.9,61,,66.44
9/22/07,72.55,82.9,66,0.18,84.42
9/23/07,73.49,81,66,,50.17
9/24/07,70.5,82,60.1,,48.96
9/25/07,72.72,87.1,62.1,,69.7
9/26/07,77.32,91,66,,65.96
9/27/07,75.46,86,68,,75.54
9/28/07,71.55,79,66,0,62.85
9/29/07,67.45,77,59,,47.5
9/30/07,66.54,75.9,57.2,,55.48
10/1/07,64.7,75.9,57,,68.04
10/2/07,66.05,77,55.9,,72.79
10/3/07,73.21,82,64.4,,78.16
10/4/07,73.95,82.9,68,,79.94
10/5/07,70.84,77,68,0,86.39
10/6/07,72.08,82,66,0,82.21
10/7/07,75.85,87.1,68,,71.56
10/8/07,77.11,89.1,69.1,,68.79
10/9/07,73.68,84.9,64.4,0.75,76.32
10/10/07,69.2,79,63,,71.51
